name,category,price,stock,monthly_demand
Wireless Bluetooth Earbuds,Electronics,49.99,1200,890
USB-C Charging Cable 6ft,Accessories,12.99,3400,2800
Portable Power Bank 20000mAh,Electronics,39.99,450,620
Organic Green Tea 100pk,Grocery,18.49,2100,1500
Stainless Steel Water Bottle,Home & Kitchen,24.99,800,950
LED Desk Lamp Adjustable,Home & Kitchen,34.99,560,380
Microfiber Cleaning Cloths 12pk,Home & Kitchen,9.99,4200,3100
Wireless Mouse Ergonomic,Electronics,29.99,670,520
Phone Screen Protector 3pk,Accessories,8.99,5600,4200
Yoga Mat Premium 6mm,Sports & Fitness,32.99,340,290
Bamboo Cutting Board Set,Home & Kitchen,21.99,720,480
Laptop Stand Aluminum,Electronics,45.99,280,410
Resistance Bands Set 5pc,Sports & Fitness,16.99,1800,1400
Reusable Grocery Bags 6pk,Home & Kitchen,14.99,3200,2400
Noise Cancelling Headphones,Electronics,89.99,150,280
Vitamin D3 5000IU 180ct,Health,15.99,2600,1900
Electric Toothbrush Pro,Health,44.99,380,310
Cast Iron Skillet 12in,Home & Kitchen,29.99,510,340
Wireless Keyboard Compact,Electronics,39.99,420,380
Coffee Grinder Burr Mill,Home & Kitchen,54.99,190,250
Protein Powder Whey 2lb,Health,34.99,1100,880
Silicone Baking Mat Set,Home & Kitchen,13.99,1600,1100
Smart Watch Fitness Tracker,Electronics,79.99,200,350
HDMI Cable 4K 10ft,Accessories,11.99,2800,2200
Air Purifier HEPA Small Room,Home & Kitchen,69.99,160,210
Foam Roller Muscle Recovery,Sports & Fitness,19.99,900,620
Instant Read Thermometer,Home & Kitchen,16.99,1400,950
Webcam HD 1080p,Electronics,44.99,310,400
Running Shoes Lightweight,Sports & Fitness,64.99,220,180
Essential Oils Starter Kit,Health,28.99,750,580
Mechanical Keyboard RGB,Electronics,59.99,340,420
Portable Bluetooth Speaker,Electronics,34.99,480,560
French Press Coffee Maker,Home & Kitchen,22.99,680,450
Compression Socks 3 Pair,Health,18.99,2200,1700
Electric Kettle 1.7L,Home & Kitchen,27.99,590,440
Wireless Earbuds Sport,Electronics,42.99,360,480
Desk Organizer Wood,Office,26.99,450,320
Insulated Lunch Bag,Home & Kitchen,17.99,1300,980
Multivitamin Gummies 90ct,Health,12.99,3100,2500
Jump Rope Speed Cable,Sports & Fitness,11.99,1700,1200
External SSD 1TB,Electronics,74.99,140,230
Ring Light 10in LED,Electronics,24.99,520,650
Stainless Steel Tumbler 30oz,Home & Kitchen,19.99,1800,1400
Non-Stick Cookware Set 10pc,Home & Kitchen,89.99,120,160
Adjustable Dumbbell Set,Sports & Fitness,149.99,80,130
USB Hub 7-Port,Accessories,19.99,960,740
Aromatherapy Diffuser,Home & Kitchen,31.99,410,290
Collagen Peptides Powder,Health,29.99,640,510
Digital Kitchen Scale,Home & Kitchen,14.99,1500,1100
Workout Gloves Padded,Sports & Fitness,15.99,1100,800
